transaction_hash,transaction_index,from_address,to_address,value,input,output,trace_type,call_type,reward_type,gas,gas_used,subtraces,trace_address,error,status,block_timestamp,block_number,block_hash,trace_id
0x713aa239c0bf18980a2ecb3990f9450271fb1825f80f9ce0c3cbb60be65d0be7,120,0xb772565dfd2115a43b05779cba608cbb2d559508,0xc9d198089d6c31d0ca5cc5b92c97a57a97bbfde2,0,0xb88d4fde000000000000000000000000b772565dfd2115a43b05779cba608cbb2d55950800000000000000000000000084078361225505005f617354ff03f3b64314544700000000000000000000000000000000000000000000000000000000000003e300000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000000000360c6ebe,0x,call,call,,136560,99907,1,,,1,2023-03-02 01:06:11,16737511,0xecc7c41318fd27424d835348a34c8a1eb134ee7b92867542943d3e004b72270f,call_0x713aa239c0bf18980a2ecb3990f9450271fb1825f80f9ce0c3cbb60be65d0be7_
0xf80ca4d085e2ef86c6130f7d5785e64d39779c18aa0047696fff3f1820ee1e78,47,0xe20e17f73d7d9a311ae63212e3f71830b85b55fe,0xdac17f958d2ee523a2206206994597c13d831ec7,0,0xa9059cbb0000000000000000000000004377a9eb89c6293f8b3fb197ccb7ca72e199132f000000000000000000000000000000000000000000000000000000037e11d600,0x,call,call,,41601,41601,0,,,1,2023-03-01 08:11:35,16732501,0x6afc3b481739067a7fd877880b489130d138912bfbaa04ef3e8e61edd7824e96,call_0xf80ca4d085e2ef86c6130f7d5785e64d39779c18aa0047696fff3f1820ee1e78_
0x865fa8f1e29d6a05ce08796a6766e4d2574a60def33336b5cec2eb748b7392ae,198,0x000000000000ad05ccc4f10045630fb830b95127,0x000000000000ad05ccc4f10045630fb830b95127,0,0xe04d94ae000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000003e000000000000000000000000000000000000000000000000000000000000000e0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000032000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000ff4b230000000000000000000000002d2f63570384c10acff9e2bf8ee251383595c2e800000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000b92d5d043faf7cecf7e2ee6aaed2320000000000000000000000006339e5e072086621540d0362c4e3cea0d643e1140000000000000000000000000000000000000000000000000000000000003ac000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000a39bb272e79075ade125fd351887ac0000000000000000000000000000000000000000000000000a217b21de0900000000000000000000000000000000000000000000000000000000000063febc680000000000000000000000000000000000000000000000000000000063fecb9900000000000000000000000000000000000000000000000000000000000001a000000000000000000000000000000000d732a4cb5d5d5da1bd230f78316cff5c000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000032000000000000000000000000c8f8e2f59dd95ff67c3d39109eca2e2a017d4c8a000000000000000000000000000000000000000000000000000000000000000101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000060000000000000000000000000000000000000000000000000000000000000001c9efa12feadcec8ef8e7e17a2207be95aa82793bb344970382575e3b0afe3153a685415ede005f5b1274e458e89b2699b836d1fbca0caf07126bd764e052c59f300000000000000000000000000000000000000000000000000000000000000e0000000000000000000000000000000000000000000000000000000000000001b31ab14ccbd4b6b7b7ee222848e15d5b71f8fb223ef4357cb60fa7a7814d54c5234841e61e08bdd3fc7717796a1e78811935a93055cedcabdf8421513f63537c100000000000000000000000000000000000000000000000000000000000002e000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000ff4b230000000000000000000000007b03ec1fa5dab48a6e9dde1a2f026d6bc1bb561400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000b92d5d043faf7cecf7e2ee6aaed2320000000000000000000000006339e5e072086621540d0362c4e3cea0d643e114000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000a39bb272e79075ade125fd351887ac0000000000000000000000000000000000000000000000000a217b21de0900000000000000000000000000000000000000000000000000000000000063febc670000000000000000000000000000000000000000000000000000000065dfefe700000000000000000000000000000000000000000000000000000000000001a000000000000000000000000000000000c5425993845e843344769ecce2b5848400000000000000000000000000000000000000000000000000000000000001c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000060000000000000000000000000000000000000000000000000000000000000001c4dd7be4484ba20dbe89d3426d0c0eb193c5ca6665956e2ed56aef153701152671c783dddea06a236b98062c730a9a6cd7cffc319ea18d039c5c0bad106105d78,0x,call,delegatecall,,401974,184526,1,"0,7",,1,2023-03-01 02:50:59,16730916,0xb4149de712cd8e00c1c9acc2e718094d65aa731fe0dd6dc754d8f0da9c11b96c,call_0x865fa8f1e29d6a05ce08796a6766e4d2574a60def33336b5cec2eb748b7392ae_0_7
0x9a5f24f94540e88ce365d62442c6bc734353bc2742c9f37f93792939127c3aa6,153,0x9453aac812b0cd8fd069940002712dbf7d48431c,0x95c605ef51f57d11312c5aa56b4ee7aa59224cf0,0,0x443cb4bc,0x000000000000000000000000000000000000000000000000000010e72d95a1d5,call,delegatecall,,361394,2429,0,"0,2,0,2,1",,1,2023-03-01 07:33:23,16732312,0x641f08f50509e33a35c205db98bf4238317541d0c0c6ff5f4cb5f354d66090e9,call_0x9a5f24f94540e88ce365d62442c6bc734353bc2742c9f37f93792939127c3aa6_0_2_0_2_1
0xf85d7a09587d3d21722782b1e4db76e48d232a346ef0bb7744d2d204cd216148,88,0x3ee18b2214aff97000d974cf647e7c347e8fa585,0x299b4f6066d231521d11fae8331fb1a4fe794f58,0,0x5c60da1b,0x0000000000000000000000000fd04a68d3c3a692d6fa30384d1a87ef93554ee6,call,delegatecall,,32191,459,0,"0,2,0,0",,1,2023-03-01 05:48:11,16731791,0xb2ba9391194bdeb7fcbfc9f0a0d97679833991827db5cbfe77ece8055a743bbc,call_0xf85d7a09587d3d21722782b1e4db76e48d232a346ef0bb7744d2d204cd216148_0_2_0_0
0xfd48cddbe88667d4e42aabe94854fbfe7b3d8f28cd50aacc224b7817bd1da052,40,0x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0,0xa9059cbb000000000000000000000000e936f0073549ad8b1fa53583600d629ba93751610000000000000000000000000000000000000000000000001946c708ee58a800,0x0000000000000000000000000000000000000000000000000000000000000001,call,call,,158758,10862,0,"1,2,0",,1,2023-03-02 21:57:47,16743682,0x395b2bf8486d6045df83a38485e91b42bc72e532e8d3f4a0d877f1b14aed63a1,call_0xfd48cddbe88667d4e42aabe94854fbfe7b3d8f28cd50aacc224b7817bd1da052_1_2_0
0xd0cff3be0d6c05281534f668787ffaa2c41b609beb2184f6e342deaf0c096ec4,32,0x94682755f153037bc89ab19f2831d2a54f58de42,0xc4231ad30d370d35454662aed23f1a43873782e1,0,0x70a0823100000000000000000000000094682755f153037bc89ab19f2831d2a54f58de42,0x00000000000000000000000000000000000000000000685a1acaf847e750a968,call,staticcall,,351622,624,0,"0,2,5,1",,1,2023-03-02 23:00:35,16743994,0x0472f4f7f0112c3d8ebad2239c75b4ed21eeb9584af53185ed93c57bf18a2557,call_0xd0cff3be0d6c05281534f668787ffaa2c41b609beb2184f6e342deaf0c096ec4_0_2_5_1
0x6c22327a67ea4bd661288ce476ae3fe86e80c645d4dabe99326ae767ac75d2f2,108,0x7830c87c02e56aff27fa8ab1241711331fa86f43,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,0,0xca350aa60000000000000000000000000000000000000000000000000000000000000040000000000000000000000000000000000000000000000000000000000003d090000000000000000000000000000000000000000000000000000000000000000f00000000000000000000000095ad61b0a150d79219dcf64e1e6cc01f0b64c4ce000000000000000000000000389d4b17b941776236322727812d61e10f449af60000000000000000000000000000000000000000000ca80ebeaad614af2f000000000000000000000000000041e5560054824ea6b0732e656e3ad64e20e94e45000000000000000000000000a294cca691e4c83b1fc0c8d63d9a3eef0a196de1000000000000000000000000000000000000000000000000000007092cf41520000000000000000000000000dac17f958d2ee523a2206206994597c13d831ec7000000000000000000000000978a57f4b1dec0fe7e9d687b1e2cb95c02d2370c00000000000000000000000000000000000000000000000000000000059bdc18000000000000000000000000dac17f958d2ee523a2206206994597c13d831ec7000000000000000000000000fbaae3c68baab3bebc3ca04ebe7114e8cbd165f6000000000000000000000000000000000000000000000000000000001daead70000000000000000000000000dac17f958d2ee523a2206206994597c13d831ec7000000000000000000000000f271bcff1209e62a3ff68493c4c40a79e84bb13d000000000000000000000000000000000000000000000000000000003b986ca0000000000000000000000000dac17f958d2ee523a2206206994597c13d831ec7000000000000000000000000a43504c02dc99185b85aa15cfc82523eb2af708d000000000000000000000000000000000000000000000000000000004bfef4c0000000000000000000000000dac17f958d2ee523a2206206994597c13d831ec70000000000000000000000009efb97b9fce3ff9a098cf70db3154fa0606f3cc600000000000000000000000000000000000000000000000000000000b1c789d30000000000000000000000007d1afa7b718fb893db30a3abc0cfc608aacfebb00000000000000000000000001efb7887ae43d77544a25abc6e7b56a492d8bc85000000000000000000000000000000000000000000000001b7af06efaa5e84000000000000000000000000007d1afa7b718fb893db30a3abc0cfc608aacfebb000000000000000000000000006109b4154a502c508efdf6e41d8a2a87161c9b900000000000000000000000000000000000000000000001b4b83eef4c53b18000000000000000000000000007d1afa7b718fb893db30a3abc0cfc608aacfebb000000000000000000000000009e64ff9b2ca4ef8171cc25069b95157cb0d4ae9000000000000000000000000000000000000000000000029aa5f57a0ec6fa0000000000000000000000000004a220e6096b25eadb88358cb44068a3248254675000000000000000000000000a4ff48b1ca3943f3d008fb42f55f3450a7b6cb530000000000000000000000000000000000000000000000001d281e1b962084000000000000000000000000000bc529c00c6401aef6d220be8c6ea1667f6ad93e000000000000000000000000a294cca691e4c83b1fc0c8d63d9a3eef0a196de1000000000000000000000000000000000000000000000000144d05ef75fb38000000000000000000000000003c4b6e6e1ea3d4863700d7f76b36b7f3d3f13e3d00000000000000000000000086904e32b0d7a8e1ab4dc4a02bae7ff93e9a2d33000000000000000000000000000000000000000000000000000006cbbb431d79000000000000000000000000514910771af9ca656af840dff83e8264ecf986ca000000000000000000000000107c9100338c7601840b260b5bf9df3df1092cf20000000000000000000000000000000000000000000000020ef9927af8453c00000000000000000000000000a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48000000000000000000000000c91f8e904b482bb2f279f4a631162aba60c60a7d00000000000000000000000000000000000000000000000000000000232aaf80,0x,call,call,,1964476,370805,15,,,1,2023-03-01 00:58:11,16730357,0x718ef6d927de95ed79ed2420a5cbd36ffd9ea17073e25bac9c9f4b8d967f76a0,call_0x6c22327a67ea4bd661288ce476ae3fe86e80c645d4dabe99326ae767ac75d2f2_
0x685ff4de5a71e890486ba267da616905e984809c03ae3cbb24b6489d8c4a2689,216,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,0xeb1a8c53bee260051d541a0c43ec008b0acff054,0,0x022c0d9f0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000032cd74aa738058b000000000000000000000000ef1c6e67703c7bd7107eed8303fbe6ec2554bf6b00000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000000000,0x,call,call,,134016,37546,3,5,,1,2023-03-02 09:20:59,16739956,0x53fc209ee32ece2b1029437ac4e4e12953503ca920336926a6f798d712244062,call_0x685ff4de5a71e890486ba267da616905e984809c03ae3cbb24b6489d8c4a2689_5
0x92e3d7debf72c857f4b8b609403e9d5795cbdf56d48fb37141c380c644f94123,95,0xba12222222228d8ba445958a75a0704d566bf2c8,0x5c6ee304399dbdb9c8ef030ab642b10820db8f56,0,0x23b872dd000000000000000000000000f1665af579151f6135e753d0fc140d689208356d0000000000000000000000009008d19f58aabd9ed0d60971565aa8510560ab4100000000000000000000000000000000000000000000000051a9b0e453a09b9f,0x0000000000000000000000000000000000000000000000000000000000000001,call,call,,270561,9537,0,"1,0,1",,1,2023-03-01 03:49:35,16731206,0x523d16a818caffbe3ca58a111c632eb3f87ff170f0e1ad6d03d9107c8424cb89,call_0x92e3d7debf72c857f4b8b609403e9d5795cbdf56d48fb37141c380c644f94123_1_0_1
