address,bytecode,function_sighashes,is_erc20,is_erc721,block_hash,block_number,block_timestamp
0x274d186fcdf3f0f450331762ff7f5a80848a561d,0x363d3d373d3d3d363d73849c1a382fc9e788189aff75fabfe191b13f6b3e5af43d82803e903d91602b57fd5bf3,{},false,false,0xc0a1c64cd3ea7952c0af91fb526ae43b6c75ca762513102dcf8385b1370b9a83,16731648,2023-03-01 05:19:11
0x059b82c25f4c821428350e446e619558e826182d,0x363d3d373d3d3d363d739f4a42e6f558fba3e0ca9df9ad0800dd3ca27e265af43d82803e903d91602b57fd5bf3,{},false,false,0xc0a1c64cd3ea7952c0af91fb526ae43b6c75ca762513102dcf8385b1370b9a83,16731648,2023-03-01 05:19:11
0x25e338b0e7a0f711613ce762fb33fbf8d2af05f4,0x363d3d373d3d3d363d73a6f6b1d91694e9a67459112b6508609b143f34c75af43d82803e903d91602b57fd5bf3,{},false,false,0xc0a1c64cd3ea7952c0af91fb526ae43b6c75ca762513102dcf8385b1370b9a83,16731648,2023-03-01 05:19:11
0x730d87f38327f545df2fb8e4abe9bd5123e40b46,0x363d3d373d3d3d363d7348ad3f8c02e5001a0237111c7be0f1726888972f5af43d82803e903d91602b57fd5bf3,{},false,false,0xc0a1c64cd3ea7952c0af91fb526ae43b6c75ca762513102dcf8385b1370b9a83,16731648,2023-03-01 05:19:11
0x63424d13d6c647b60e14093fcad2b6b07895b16f,0x363d3d373d3d3d363d73c66fcd56387cec1c709580278b310dac604bad835af43d82803e903d91602b57fd5bf3,{},false,false,0xc0a1c64cd3ea7952c0af91fb526ae43b6c75ca762513102dcf8385b1370b9a83,16731648,2023-03-01 05:19:11
0x8055a466da951fc1d4f60774bb24229e57aaf7dc,0x363d3d373d3d3d363d737a887b7076810947d957d045559a26f180595f895af43d82803e903d91602b57fd5bf3,{},false,false,0xc0a1c64cd3ea7952c0af91fb526ae43b6c75ca762513102dcf8385b1370b9a83,16731648,2023-03-01 05:19:11
0x61b6a94997599785238645a8da601a1e56262025,0x363d3d373d3d3d363d73e40144218e480134d871ec2b9d46b4e256c4eff75af43d82803e903d91602b57fd5bf3,{},false,false,0xc0a1c64cd3ea7952c0af91fb526ae43b6c75ca762513102dcf8385b1370b9a83,16731648,2023-03-01 05:19:11
0x31f6b9620e8e8f3ed51c2d50424e1084f651f98e,0x363d3d373d3d3d363d73a50077abfa569034f02a364fbad6a1e9297f503e5af43d82803e903d91602b57fd5bf3,{},false,false,0xc0a1c64cd3ea7952c0af91fb526ae43b6c75ca762513102dcf8385b1370b9a83,16731648,2023-03-01 05:19:11
0xbcd7238a859ee2277b869a37e7769b53ed50a0b2,0x363d3d373d3d3d363d731052055653daac9c96d68e432778ddc936562ccc5af43d82803e903d91602b57fd5bf3,{},false,false,0xc0a1c64cd3ea7952c0af91fb526ae43b6c75ca762513102dcf8385b1370b9a83,16731648,2023-03-01 05:19:11
0x358e6378203857758a52d5b41456e855c6c6a97a,0x363d3d373d3d3d363d73d391446f6df39c371ad2c1a408cbe9f60a4e68315af43d82803e903d91602b57fd5bf3,{},false,false,0xc0a1c64cd3ea7952c0af91fb526ae43b6c75ca762513102dcf8385b1370b9a83,16731648,2023-03-01 05:19:11
0xe1aad39652ad70a9c9736345f00a5023e1d621a6,0x363d3d373d3d3d363d73de64fa99faf086d2fa1db4951431cd86a8eead235af43d82803e903d91602b57fd5bf3,{},false,false,0xc0a1c64cd3ea7952c0af91fb526ae43b6c75ca762513102dcf8385b1370b9a83,16731648,2023-03-01 05:19:11
0x86553fd7e2a5054373d64ff57c69d7b12e74e8f9,0x363d3d373d3d3d363d7323b1554d6c63291b4c06351d6f2ab2c75af029b55af43d82803e903d91602b57fd5bf3,{},false,false,0xc0a1c64cd3ea7952c0af91fb526ae43b6c75ca762513102dcf8385b1370b9a83,16731648,2023-03-01 05:19:11
0xfc85e5bea3e896dc5b10c1e01937f9148912ef98,0x363d3d373d3d3d363d733e1e162c7de04cbc1087d45ba717543e49b727405af43d82803e903d91602b57fd5bf3,{},false,false,0xc0a1c64cd3ea7952c0af91fb526ae43b6c75ca762513102dcf8385b1370b9a83,16731648,2023-03-01 05:19:11
0x9d32d970dbe483558fc9e83b4cd206b7078bb11e,0x363d3d373d3d3d363d73849c1a382fc9e788189aff75fabfe191b13f6b3e5af43d82803e903d91602b57fd5bf3,{},false,false,0xc0a1c64cd3ea7952c0af91fb526ae43b6c75ca762513102dcf8385b1370b9a83,16731648,2023-03-01 05:19:11
0x1ce8acf5cabe3bfbf516ddba9abb77d7ccd906b8,0x363d3d373d3d3d363d73e65fa877a2ed5a4396eaf2b646d90f512cb588475af43d82803e903d91602b57fd5bf3,{},false,false,0xc0a1c64cd3ea7952c0af91fb526ae43b6c75ca762513102dcf8385b1370b9a83,16731648,2023-03-01 05:19:11
0x79f7ca190e62108d5c09e937423f9942e0ba1940,0x363d3d373d3d3d363d735c0e7822aaaaeb4d4d798a48035b9e92b17fc5775af43d82803e903d91602b57fd5bf3,{},false,false,0xc0a1c64cd3ea7952c0af91fb526ae43b6c75ca762513102dcf8385b1370b9a83,16731648,2023-03-01 05:19:11
