token_address,from_address,to_address,value,transaction_hash,log_index,block_number
0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,0x7ac791b41b2dbc71400dfb73b7b9ed4c96da596b,0xa527a61703d82139f8a06bc30097cc9caa2df5a6,50569044324874111681,0x433c00b17c97142ac0ad05d96d01d048db62e47a9ccf9b4d0db356510cc24833,0,760124
0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xa527a61703d82139f8a06bc30097cc9caa2df5a6,0x05ff2b0db69458a0750badebc4f9e13add608c7f,1077826655541287995,0x433c00b17c97142ac0ad05d96d01d048db62e47a9ccf9b4d0db356510cc24833,2,760124
0xe02df9e3e622debdd69fb838bb799e3f168902c5,0x0000000000000000000000000000000000000000,0xde5870057c6ae6a764cd60d9214c38b92fc05a80,11857500000000000000,0xded687efeaf939cb48d12aa45fc820cb96e7aaf9e55e132acb8072414dff6fd9,6,760124
0xe02df9e3e622debdd69fb838bb799e3f168902c5,0x0000000000000000000000000000000000000000,0x20ec291bb8459b6145317e7126532ce7ece5056f,1185750000000000000000,0xded687efeaf939cb48d12aa45fc820cb96e7aaf9e55e132acb8072414dff6fd9,7,760124
0xe02df9e3e622debdd69fb838bb799e3f168902c5,0x20ec291bb8459b6145317e7126532ce7ece5056f,0xa690ebebddebb6d5640e1a502ae624f8295266d1,88805750746663833125,0xded687efeaf939cb48d12aa45fc820cb96e7aaf9e55e132acb8072414dff6fd9,8,760124
0xc2eed0f5a0dc28cfa895084bc0a9b8b8279ae492,0xa690ebebddebb6d5640e1a502ae624f8295266d1,0x20ec291bb8459b6145317e7126532ce7ece5056f,0,0xded687efeaf939cb48d12aa45fc820cb96e7aaf9e55e132acb8072414dff6fd9,9,760124
0xaf53d56ff99f1322515e54fdde93ff8b3b7dafd5,0xc73098d7f59638ba46bb1084a57704e5c80c1e19,0xd06dc8eec9a551a2788f64639b70dced3e992c4c,8523439739000000000,0x8d6eecd97bd6dd107e7b06bbba4b26c08a4b82948636c310cd40d669be8318c3,11,760124
0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xd06dc8eec9a551a2788f64639b70dced3e992c4c,0xa5e6519e1623547b7c6b1ec8f0f4f918bbace5dd,603545446587238963,0x8d6eecd97bd6dd107e7b06bbba4b26c08a4b82948636c310cd40d669be8318c3,14,760124
0xe9e7cea3dedca5984780bafc599bd69add087d56,0xa5e6519e1623547b7c6b1ec8f0f4f918bbace5dd,0xc73098d7f59638ba46bb1084a57704e5c80c1e19,14280267064153760315,0x8d6eecd97bd6dd107e7b06bbba4b26c08a4b82948636c310cd40d669be8318c3,20,760124
0xaf53d56ff99f1322515e54fdde93ff8b3b7dafd5,0xc73098d7f59638ba46bb1084a57704e5c80c1e19,0xd06dc8eec9a551a2788f64639b70dced3e992c4c,25647261000000000,0x8d6eecd97bd6dd107e7b06bbba4b26c08a4b82948636c310cd40d669be8318c3,25,760124
